,lat,lng
1326,12.6172,55.6671
1327,12.6178,55.6664
1331,12.6179,55.6662
1333,12.618,55.666
1334,12.6181,55.6659
1336,12.6183,55.6657
1337,12.6187,55.6651
1338,12.6194,55.6643
1340,12.6195,55.6642
1341,12.6197,55.6639
1344,12.62,55.6635
1345,12.6201,55.6633
1346,12.6172,55.6634
1347,12.6179,55.6636
1349,12.618,55.6636
1351,12.6181,55.6636
1352,12.6182,55.6636
1353,12.6189,55.6638
1354,12.6195,55.6639
1358,12.6198,55.6639
1360,12.621,55.6642
1361,12.5966,55.6682
1364,12.5965,55.6681
1365,12.5964,55.668
1366,12.5962,55.6674
1368,12.5959,55.6665
1369,12.5959,55.6664
1371,12.6123,55.6651
1372,12.6125,55.6652
1373,12.6127,55.6652
1374,12.6128,55.6653
1376,12.6131,55.6653
1377,12.6133,55.6654
1378,12.5825,55.7017
1380,12.5822,55.7015
1381,12.6161,55.6622
1382,12.6163,55.662
1383,12.6168,55.6617
1384,12.6169,55.6617
1386,12.6178,55.6611
1387,12.5396,55.6701
1389,12.5398,55.6697
1390,12.5399,55.6696
1391,12.54,55.6695
1392,12.54,55.6694
1393,12.54,55.6693
1394,12.54,55.6692
1395,12.54,55.669
1396,12.54,55.6689
1397,12.54,55.6687
1398,12.5481,55.6722
1399,12.5477,55.6721
1400,12.5473,55.672
1401,12.547,55.6719
1402,12.5466,55.6718
1403,12.5463,55.6717
1405,12.5462,55.6717
1406,12.546,55.6717
1407,12.5459,55.6716
1408,12.5623,55.6776
1409,12.5622,55.6776
1411,12.5612,55.6777
1412,12.561,55.6777
1414,12.5608,55.6777
1415,12.5596,55.6778
1417,12.5567,55.6781
1418,12.5456,55.6716
1419,12.5455,55.6715
1420,12.5452,55.6715
1421,12.5449,55.6714
1422,12.5447,55.6713
1423,12.5443,55.6712
1424,12.5442,55.6712
1425,12.5438,55.6711
1428,12.5435,55.671
1429,12.5428,55.6709
1430,12.5424,55.6708
1431,12.5419,55.6706
1432,12.5415,55.6705
1433,12.5411,55.6704
1434,12.5407,55.6703
1435,12.5402,55.6702
1436,12.5399,55.6702
1437,12.5397,55.6702
1438,12.617,55.6613
1440,12.617,55.6612
1441,12.5984,55.6689
1442,12.6001,55.6687
1443,12.6146,55.663
1444,12.6147,55.663
1445,12.6151,55.6631
1448,12.6152,55.6631
1450,12.6154,55.6632
1452,12.6159,55.6633
1453,12.5735,55.6918
1454,12.5755,55.691
1455,12.5755,55.6909
1459,12.5852,55.7052
1461,12.5865,55.7053
1462,12.5644,55.6829
1463,12.5643,55.6829
1464,12.5638,55.683
1465,12.5631,55.6832
1466,12.5628,55.6834
1467,12.5626,55.6834
1468,12.5997,55.6654
1469,12.5998,55.6654
1471,12.6003,55.6656
1472,12.6011,55.6658
1474,12.6014,55.6659
1475,12.6018,55.6663
1476,12.6011,55.667
1477,12.5577,55.6719
1478,12.5579,55.6719
1480,12.5583,55.6717
1481,12.5587,55.6716
1482,12.559,55.6715
1483,12.5591,55.6715
1484,12.5595,55.6714
1485,12.5598,55.6713
1486,12.5599,55.6713
1488,12.56,55.6713
1490,12.5601,55.6712
1492,12.5612,55.6709
1494,12.5614,55.6709
1495,12.6141,55.662
1497,12.614,55.6621
1498,12.6138,55.6623
1499,12.6137,55.6625
1500,12.6136,55.6626
1501,12.6135,55.6627
1502,12.6134,55.6629
1503,12.6133,55.6631
1504,12.6131,55.6633
1505,12.613,55.6634
1506,12.6128,55.6637
1507,12.6127,55.6638
1508,12.6124,55.6643
1509,12.6121,55.6646
1510,12.6156,55.6669
1513,12.6159,55.6665
1516,12.6159,55.6664
1519,12.6177,55.6641
1520,12.6177,55.664
1523,12.6183,55.6633
1524,12.6185,55.663
1525,12.5954,55.6683
1527,12.5939,55.6681
1529,12.5936,55.6681
1530,12.5934,55.668
1531,12.591,55.6677
1532,12.5909,55.6676
1533,12.6003,55.6675
1535,12.6,55.6678
1536,12.5939,55.668
1538,12.594,55.6679
1539,12.5941,55.6677
1543,12.5942,55.6677
1545,12.5951,55.6674
1546,12.5952,55.6674
1549,12.6179,55.6641
1550,12.618,55.6641
1551,12.6183,55.6641
1552,12.6187,55.6642
1553,12.6192,55.6643
1554,12.5955,55.6675
1557,12.5961,55.6674
1561,12.5964,55.6673
1563,12.5966,55.6673
1564,12.5967,55.6672
1565,12.5968,55.6671
1566,12.5969,55.667
1567,12.5971,55.6668
1568,12.5972,55.6667
1569,12.587,55.686
1570,12.5869,55.686
1572,12.5858,55.6863
1573,12.5857,55.6863
1575,12.5843,55.6867
1579,12.584,55.6868
1581,12.5838,55.6868
1582,12.583,55.687
1583,12.5828,55.6871
1584,12.5826,55.6871
1586,12.5825,55.6872
1588,12.614,55.6637
1591,12.6143,55.6638
1592,12.6145,55.6638
1594,12.6147,55.6639
1596,12.6148,55.6639
1598,12.6153,55.664
1601,12.5983,55.6677
1602,12.6136,55.6664
1605,12.6142,55.6656
1607,12.6147,55.665
1608,12.6149,55.6648
1610,12.6151,55.6644
1611,12.6154,55.6641
1613,12.6156,55.6638
1614,12.616,55.6633
1616,12.6166,55.6625
1617,12.5734,55.6727
1618,12.5734,55.6726
1620,12.573,55.6724
1621,12.5729,55.6723
1623,12.5727,55.6723
1624,12.5724,55.672
1625,12.5724,55.6719
1628,12.5721,55.6716
